gaze_ts,worldFrame,confidence,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,mapped,number_matches
1703060748138.688,60.0,1.0,307.79249999999996,212.564625,259.77,227.499,True,249.0
1703060748146.99,60.0,1.0,302.952375,214.84575,255.111,229.503,True,249.0
1703060748148.044,60.0,1.0,306.28725,212.25074999999998,258.382,227.151,True,249.0
1703060748156.28,60.0,1.0,305.26349999999996,212.313375,257.421,227.176,True,249.0
1703060748161.93,60.0,1.0,305.15437499999996,209.621625,257.466,224.622,True,249.0
1703060748164.5881,60.0,1.0,302.203875,207.598125,254.807,222.594,True,249.0
1703060748169.954,60.0,1.0,307.827375,207.503625,260.079,222.718,True,249.0
1703060748173.194,60.0,1.0,300.21562500000005,212.823,252.641,227.49,True,249.0
1703060748184.649,60.0,1.0,313.9905,214.840125,265.392,229.843,True,249.0
1703060748186.594,60.0,1.0,306.27900000000005,208.653375,258.571,223.747,True,249.0
1703060748191.5068,60.0,1.0,303.88349999999997,202.16025000000002,256.686,217.504,True,249.0
1703060748195.758,60.0,1.0,308.51475,204.829875,260.865,220.22,True,249.0
1703060748198.892,60.0,1.0,307.927875,203.116875,260.412,218.58,True,249.0
1703060748206.044,60.0,1.0,309.507,211.55999999999997,261.42,226.608,True,249.0
1703060748215.077,60.0,1.0,309.20700000000005,207.313125,261.373,222.59,True,249.0
1703060748220.012,60.0,1.0,309.05925,207.3495,261.234,222.619,True,249.0
1703060748293.868,60.0,1.0,313.242,209.45700000000002,264.992,224.757,True,249.0
1703060748296.147,60.0,1.0,316.102125,213.67162500000003,267.397,228.812,True,249.0
1703060748306.52,60.0,1.0,311.96624999999995,215.155875,263.505,230.077,True,249.0
1703060748309.5989,60.0,1.0,316.115625,216.97162500000002,267.232,231.909,True,249.0
1703060748314.847,60.0,1.0,316.18537499999996,213.24675000000002,267.496,228.416,True,249.0
1703060748318.433,60.0,1.0,320.178375,209.18774999999997,271.364,224.752,True,249.0
1703060748324.1638,60.0,1.0,315.25987499999997,218.352,266.371,233.18,True,249.0
1703060748330.581,60.0,1.0,310.34024999999997,208.76625,262.346,224.003,True,249.0
1703060748334.185,60.0,1.0,306.57375,207.27337500000002,258.922,222.453,True,249.0
1703060748339.843,60.0,1.0,307.80150000000003,211.88700000000003,259.815,226.858,True,249.0
1703060748343.4119,60.0,1.0,310.303125,206.017875,262.461,221.411,True,249.0
1703060748349.173,60.0,1.0,306.723,209.304375,258.951,224.379,True,249.0
1703060748355.453,60.0,1.0,315.16725,214.37512500000003,266.5,229.443,True,249.0
1703060748358.645,60.0,1.0,318.77399999999994,217.233375,269.653,232.23,True,249.0
1703060748364.826,60.0,1.0,319.332,225.56662499999996,269.717,240.048,True,249.0
1703060748367.972,60.0,1.0,317.76075000000003,219.22650000000002,268.62,234.069,True,249.0
1703060748374.217,60.0,1.0,312.588,221.312625,263.747,235.894,True,249.0
1703060748380.566,60.0,1.0,315.54299999999995,212.638875,266.939,227.825,True,249.0
1703060748384.414,60.0,1.0,306.599625,214.33575000000002,258.56,229.135,True,249.0
1703060748390.9849,60.0,1.0,311.53837500000003,219.76649999999998,262.859,234.41,True,249.0
1703060748392.9878,60.0,1.0,304.61850000000004,209.296875,256.982,224.295,True,249.0
1703060748399.1538,60.0,1.0,304.267125,208.413375,256.701,223.445,True,249.0
1703060748406.023,60.0,1.0,309.77775,214.220625,261.527,229.127,True,249.0
1703060748408.5461,60.0,1.0,313.85212499999994,212.38275000000002,265.397,227.529,True,249.0
1703060748414.86,60.0,1.0,311.170125,213.84824999999998,262.839,228.821,True,249.0
1703060748417.928,60.0,1.0,314.485875,212.86724999999998,265.954,228.005,True,249.0
1703060748424.252,60.0,1.0,312.831375,214.79399999999998,264.325,229.764,True,249.0
1703060748430.477,60.0,1.0,309.072375,214.673625,260.847,229.533,True,249.0
1703060748434.153,60.0,1.0,312.759375,217.090125,264.134,231.923,True,249.0
1703060748439.874,60.0,1.0,312.69037499999996,213.221625,264.279,228.279,True,249.0
1703060748446.134,60.0,1.0,306.736875,209.80800000000002,258.936,224.856,True,249.0
1703060748449.194,60.0,1.0,307.32825,211.664625,259.386,226.632,True,249.0
1703060748455.519,60.0,1.0,311.4795,211.41937499999997,263.257,226.542,True,249.0
1703060748458.584,60.0,1.0,313.62712500000004,216.12375,264.987,231.039,True,249.0
1703060748464.8508,60.0,1.0,322.64775,212.19975,273.447,227.647,True,249.0
1703060748472.0278,60.0,1.0,322.666125,209.434125,273.611,225.07,True,249.0
1703060748474.251,60.0,1.0,318.564375,204.54075,270.14,220.349,True,249.0
1703060748480.484,60.0,1.0,308.832375,207.637875,261.007,222.882,True,249.0
1703060748483.6091,60.0,1.0,311.483625,210.126,263.331,225.325,True,249.0
1703060748490.6382,60.0,1.0,312.53925,211.47937500000003,264.234,226.635,True,249.0
1703060748496.099,60.0,1.0,305.93437500000005,214.445625,257.931,229.218,True,249.0
1703060748499.18,60.0,1.0,309.96750000000003,211.11525,261.872,226.204,True,249.0
1703060748506.188,60.0,1.0,315.42225,215.5035,266.674,230.51,True,249.0
1703060748508.792,60.0,1.0,314.652,214.734,266.007,229.764,True,249.0
1703060748514.859,60.0,1.0,321.971625,212.973375,272.793,228.346,True,249.0
1703060748521.2969,60.0,1.0,317.670375,209.7135,269.047,225.155,True,249.0
1703060748526.7332,60.0,1.0,315.66825,208.62075000000002,267.27,224.06,True,249.0
1703060748530.489,60.0,1.0,318.57862500000005,222.62775,269.186,237.278,True,249.0
1703060748533.707,60.0,1.0,313.37850000000003,209.331375,265.125,224.644,True,249.0
1703060748539.873,60.0,1.0,313.315875,206.30775,265.231,221.801,True,249.0
1703060748546.083,60.0,1.0,307.423875,212.469375,259.431,227.396,True,249.0
1703060748550.2742,60.0,1.0,307.42575,208.35825,259.658,223.51,True,249.0
1703060748556.005,60.0,1.0,312.344625,206.312625,264.334,221.768,True,249.0
1703060748558.63,60.0,1.0,317.10225,211.39724999999999,268.436,226.712,True,249.0
1703060748564.873,60.0,1.0,316.45875,212.0445,267.812,227.298,True,249.0
1703060748571.306,60.0,1.0,313.79325,205.3935,265.72,220.96,True,249.0
1703060748574.231,60.0,1.0,312.84862499999997,210.39225000000002,264.579,225.623,True,249.0
1703060748580.4539,60.0,1.0,316.64962499999996,208.51012500000002,268.176,223.992,True,249.0
1703060748583.853,60.0,1.0,315.64162500000003,215.968125,266.851,230.953,True,249.0
1703060748589.9878,60.0,1.0,313.407375,214.14225000000002,264.892,229.168,True,249.0
1703060748596.158,60.0,1.0,312.4185,209.586375,264.225,224.85,True,249.0
1703060748599.155,60.0,1.0,305.604,209.964,257.868,224.963,True,249.0
1703060748605.7358,60.0,1.0,312.33562499999994,218.248875,263.679,233.002,True,249.0
1703060748608.545,60.0,1.0,317.75849999999997,209.488125,269.139,224.947,True,249.0
1703060748614.903,60.0,1.0,322.04850000000005,213.94125,272.811,229.252,True,249.0
1703060748621.119,60.0,1.0,317.56162500000005,210.80474999999998,268.889,226.173,True,249.0
1703060748624.15,60.0,1.0,316.512,210.652875,267.935,225.995,True,249.0
1703060748630.578,60.0,1.0,319.994625,216.573375,270.803,231.648,True,249.0
1703060748633.686,60.0,1.0,312.71625,219.66675,263.954,234.348,True,249.0
1703060748640.135,60.0,1.0,314.73224999999996,219.02175,265.849,233.795,True,249.0
1703060748646.093,60.0,1.0,311.66549999999995,215.36362499999998,263.216,230.264,True,249.0
1703060748649.461,60.0,1.0,308.4885,218.00775000000002,260.121,232.665,True,249.0
1703060748655.8,60.0,1.0,308.14125,216.69225,259.869,231.412,True,249.0
1703060748658.592,60.0,1.0,309.600375,220.25962500000003,261.033,234.824,True,249.0
1703060748667.6519,60.0,1.0,309.69374999999997,216.78525000000002,261.309,231.545,True,249.0
1703060748671.061,60.0,1.0,302.55825,212.96099999999998,254.844,227.7,True,249.0
1703060748674.188,60.0,1.0,308.157375,215.868,259.929,230.633,True,249.0
1703060748681.107,60.0,1.0,308.812125,215.74649999999997,260.546,230.538,True,249.0
1703060748683.6748,60.0,1.0,297.63712499999997,217.834875,249.917,232.188,True,249.0
1703060748689.9878,60.0,1.0,308.3955,214.72275000000002,260.214,229.558,True,249.0
1703060748699.1611,60.0,1.0,313.50037499999996,221.491875,264.58,236.086,True,249.0
1703060748705.9238,60.0,1.0,315.05625000000003,224.607,265.846,239.054,True,249.0
1703060748708.565,60.0,1.0,316.731375,222.872625,267.48,237.463,True,249.0
1703060748715.606,60.0,1.0,309.169875,228.301875,260.193,242.416,True,249.0
1703060748721.0918,60.0,1.0,306.62962500000003,224.231625,258.045,238.509,True,249.0
1703060748724.972,60.0,1.0,304.48650000000004,217.764375,256.392,232.32,True,249.0
1703060748730.463,60.0,1.0,306.921375,216.64575,258.734,231.331,True,249.0
1703060748733.644,60.0,1.0,305.32162500000004,215.357625,257.308,230.063,True,249.0
1703060748739.796,60.0,1.0,309.41099999999994,214.47,261.173,229.351,True,249.0
1703060748746.248,60.0,1.0,304.55025,210.92212499999997,256.829,225.833,True,249.0
1703060748749.399,60.0,1.0,305.46825,217.85175,257.308,232.431,True,249.0
1703060748755.492,60.0,1.0,307.27275,216.22537499999999,259.085,230.944,True,249.0
1703060748759.297,60.0,1.0,308.652,214.45425,260.467,229.312,True,249.0
1703060748764.8708,60.0,1.0,306.813375,220.756125,258.407,235.22,True,249.0
1703060748771.573,60.0,1.0,306.02549999999997,217.28175,257.861,231.907,True,249.0
1703060748775.625,60.0,1.0,300.7335,211.80825000000002,253.187,226.542,True,249.0
1703060748780.5261,60.0,1.0,304.93837499999995,220.66312499999998,256.656,235.083,True,249.0
1703060748783.55,60.0,1.0,303.405,218.28225,255.347,232.781,True,249.0
1703060748789.994,60.0,1.0,307.60125,213.53775,259.538,228.412,True,249.0
1703060748796.129,60.0,1.0,306.039,215.99175,257.944,230.686,True,249.0
